family,n_features,mean_abs_shap,abs_then_sum,top_member,share
C (counting),14,0.46175405383110046,1.1872774362564087,c13,0.16388052895205454
D (timedelta),15,0.4594055712223053,0.7092480659484863,d2,0.1630470320526319
Anonymised V (retained),143,0.36981967091560364,1.0836055278778076,v70,0.13125221702697235
Named / business,15,0.3678257167339325,0.9059352278709412,transactionamt,0.13054454534918788
Frequency encoding,11,0.3330132067203522,0.7465084195137024,uid_account_freq,0.11818928282828528
Entity aggregation,24,0.24601614475250244,0.6683267951011658,card_cnt_hist,0.08731326904069259
M (match flag),9,0.15649551153182983,0.31718215346336365,m4,0.05554161787140385
Identity,31,0.12233905494213104,0.2941208481788635,id_01,0.04341919441544173
Amount,4,0.121918685734272,0.16185545921325684,amt_cents,0.04327000172819292
Temporal,7,0.07442642003297806,0.16356545686721802,tx_hour_sin,0.02641458365511967
Email,5,0.06951037794351578,0.08681563287973404,p_email_suffix,0.024669837569433264
Missingness,12,0.03510167449712753,0.05550923943519592,n_missing_v,0.012457889510583995
