group,n_columns,missing_share,mean_abs_shap,abs_then_sum,share_of_anon
V01,24,0.0,0.051290612667798996,0.11052011698484421,0.0751118390394659
V02,14,2e-05,0.04262307286262512,0.09837239235639572,0.06241877844120339
V03,8,0.00068,0.08065426349639893,0.11150729656219482,0.11811303750308962
V04,8,0.14848,0.04863748699426651,0.07734984904527664,0.07122650528779952
V05,8,0.15164,0.1625368595123291,0.22832348942756653,0.23802488983203327
V06,9,0.165527,0.07744801789522171,0.12237733602523804,0.11341769480799614
V07,9,0.297093,0.04091808572411537,0.06807876378297806,0.05992193325158636
V08,7,0.54616,0.024393413215875626,0.04285683110356331,0.035722601696359414
V09,7,0.738987,0.015125242993235588,0.022912591695785522,0.022149956065039788
V10,10,0.742713,0.03272020071744919,0.05367168039083481,0.04791665222535008
V11,8,0.742727,0.005700911860913038,0.010834183543920517,0.008348622716763066
V12,16,0.756513,0.04395732283592224,0.06516415625810623,0.06437270263941487
V13,15,0.841327,0.05685107782483101,0.07163684070110321,0.08325478649389859
