prevalence,ca_review,odds_factor,threshold,recall,recall_value,fpr,review_rate,precision,alerts_per_10k
0.03389,4.0,1.0,0.08615665031130756,0.8688,0.8838,0.16682,0.1906,0.1545,1906.0
0.03389,10.0,1.0,0.16750038611329354,0.7345,0.7329,0.05404,0.0771,0.3228,771.0
0.03389,25.0,1.0,0.24151577448541617,0.6363,0.6218,0.02724,0.04788,0.4503,478.8
0.01,4.0,0.288,0.054771479051189155,0.7345,0.7329,0.05404,0.06085,0.1207,608.5
0.01,10.0,0.288,0.10081316994113693,0.5969,0.5726,0.01982,0.02559,0.2333,255.9
0.01,25.0,0.288,0.17435498110667833,0.4812,0.4235,0.00673,0.01148,0.4194,114.8
0.003,4.0,0.08579,0.03948797611393713,0.5578,0.524,0.01414,0.01577,0.1061,157.7
0.003,10.0,0.08579,0.059184341767459465,0.4812,0.4235,0.00673,0.00815,0.1771,81.5
0.003,25.0,0.08579,0.12078602858820053,0.358,0.2414,0.00223,0.0033,0.3253,33.0
0.001,4.0,0.02854,0.02100422287761876,0.4759,0.4176,0.00648,0.00695,0.0685,69.5
0.001,10.0,0.02854,0.04724421179866235,0.3466,0.2247,0.00197,0.00231,0.1498,23.1
0.001,25.0,0.02854,0.4545857307191615,0.0694,0.0348,4e-05,0.00011,0.6352,1.1
