metric,validation,test,test_ci_low,test_ci_high
Transactions,77822.0,78542.0,,
Fraud prevalence,0.033885019660250315,0.03531868299763184,,
PR-AUC,0.5988940079188009,0.5474358007416331,0.5052240920763974,0.5857099005624727
No-skill PR-AUC,0.033885019660250315,0.03531868299763184,,
Lift over no-skill,17.674300145717453,15.499892812490751,,
ROC-AUC,0.9263010474806815,0.9123875337738386,,
Review rate,0.18798026265066434,0.21405108095031958,,
Precision,0.15619659580285733,0.1412086604806091,0.12893844131667728,0.15313074850887567
Recall,0.8665149791429655,0.855803893294881,0.8398222551461504,0.8715301831228809
Cost (example-dependent),106661.17780733109,118555.83861970901,,
Savings,0.7351761434103133,0.723299990096541,,
