feature,auc,coverage
d5,0.7440095783902543,0.457495
v219,0.7332542527448291,0.244885
v264,0.7320433407483231,0.244885
v263,0.7089118165531674,0.244885
d2,0.7042019646592925,0.499815
d3,0.7022192159458591,0.527925
v246,0.7014396780677804,0.244885
v52,0.6986450890944192,0.70299
v275,0.6982910229038238,0.244885
v231,0.6883827343894521,0.244885
v140,0.6883447837442273,0.15896
v273,0.6858660807998371,0.244885
c4,0.684488091850521,1.0
v203,0.6842562458149897,0.25861
d8,0.6826326820124515,0.136325
v201,0.6809891686841609,0.25864
c8,0.6805136681073376,1.0
v40,0.6793606637932081,0.70299
v94,0.6772666545167931,0.83365
v167,0.6745600023554073,0.25861
c10,0.6743149355052791,1.0
productcd,0.6726168824273859,1.0
v202,0.6693700831180072,0.25861
acct_secs_since_prev,0.66893925468831,0.60064
v81,0.6622833002382005,0.83365
v156,0.6618362956147397,0.15896
v91,0.66008664425684,0.83365
v18,0.6586788651038329,0.850305
v48,0.6580741774410399,0.70299
v303,0.6577639928637771,0.999975
