arm_id,model,imbalance_arm,pr_auc_mean,pr_auc_std,n_trials_run,n_pruned,search_seconds
lgbm__natural,lgbm,natural,0.6103226465330535,0.018367449598901357,20,4,2273.3
lgbm__weighted,lgbm,weighted,0.6051710223052774,0.01928130293711836,20,7,3210.8
lgbm__smote_weighted,lgbm,smote_weighted,0.5993550444066468,0.015970567399541998,20,10,11864.5
lgbm__smote,lgbm,smote,0.5935179599540368,0.013155573427612323,20,6,3236.4
xgb__natural,xgb,natural,0.5933173907273515,0.018810483993843004,20,6,1643.6
xgb__smote,xgb,smote,0.5855212288866786,0.014085458407121854,20,7,2346.8
xgb__weighted,xgb,weighted,0.575738178320046,0.02496031937199422,20,9,1497.3
xgb__smote_weighted,xgb,smote_weighted,0.5717300802989786,0.01158766722782546,20,6,3413.1
logreg__natural,logreg,natural,0.4097338003999534,0.022142305268958242,4,1,249.6
logreg__smote,logreg,smote,0.4078768829340316,0.022764442145120627,4,1,231.1
logreg__weighted,logreg,weighted,0.39784579653572805,0.022039637595226785,4,1,259.8
logreg__smote_weighted,logreg,smote_weighted,0.394139091346904,0.021624404993654388,4,1,292.1
